Days,Time,finalDate,finalTime
TR,8:00 am - 9:15 am,"Dec 15, 2022",8:00 am - 10:50 am
T,8:00 am - 10:45 am,"Dec 15, 2022",8:00 am - 10:50 am
TWRF,8:25 am - 9:15 am,"Dec 15, 2022",8:00 am - 10:50 am
TRF,8:25 am - 9:15 am,"Dec 15, 2022",8:00 am - 10:50 am
TR,8:25 am - 9:15 am,"Dec 15, 2022",8:00 am - 10:50 am
TR,8:25 am - 10:20 am,"Dec 15, 2022",8:00 am - 10:50 am
T,8:25 am - 10:20 am,"Dec 15, 2022",8:00 am - 10:50 am
R,8:00 am - 10:45 am,"Dec 12, 2022",8:00 am - 10:50 am
TWRF,9:30 am - 10:20 am,"Dec 12, 2022",8:00 am - 10:50 am
TRF,9:30 am - 10:20 am,"Dec 12, 2022",8:00 am - 10:50 am
TR,9:30 am - 10:20 am,"Dec 12, 2022",8:00 am - 10:50 am
TR,9:30 am - 10:45 am,"Dec 12, 2022",8:00 am - 10:50 am
MW,8:00 am - 9:15 am,"Dec 09, 2022",8:00 am - 10:50 am
WF,8:00 am - 9:15 am,"Dec 09, 2022",8:00 am - 10:50 am
M,8:00 am - 10:45 am,"Dec 09, 2022",8:00 am - 10:50 am
MTWR,8:25 am - 9:15 am,"Dec 09, 2022",8:00 am - 10:50 am
MWF,8:25 am - 9:15 am,"Dec 09, 2022",8:00 am - 10:50 am
MW,8:25 am - 9:15 am,"Dec 09, 2022",8:00 am - 10:50 am
WF,8:25 am - 9:15 am,"Dec 09, 2022",8:00 am - 10:50 am
MW,8:25 am - 10:20 am,"Dec 09, 2022",8:00 am - 10:50 am
M,8:25 am - 10:20 am,"Dec 09, 2022",8:00 am - 10:50 am
R,8:25 am - 10:20 am,"Dec 09, 2022",8:00 am - 10:50 am
W,8:00 am - 10:45 am,"Dec 14, 2022",8:00 am - 10:50 am
WF,8:25 am - 10:20 am,"Dec 14, 2022",8:00 am - 10:50 am
W,8:25 am - 10:20 am,"Dec 14, 2022",8:00 am - 10:50 am
MTWR,9:30 am - 10:20 am,"Dec 14, 2022",8:00 am - 10:50 am
MWF,9:30 am - 10:20 am,"Dec 14, 2022",8:00 am - 10:50 am
MW,9:30 am - 10:20 am,"Dec 14, 2022",8:00 am - 10:50 am
WF,9:30 am - 10:20 am,"Dec 14, 2022",8:00 am - 10:50 am
MW,9:30 am - 10:45 am,"Dec 14, 2022",8:00 am - 10:50 am
WF,9:30 am - 10:45 am,"Dec 14, 2022",8:00 am - 10:50 am
TWRF,12:30 pm - 1:20 pm,"Dec 15, 2022",11:20 am - 2:10 pm
TRF,12:30 pm - 1:20 pm,"Dec 15, 2022",11:20 am - 2:10 pm
TR,12:30 pm - 1:20 pm,"Dec 15, 2022",11:20 am - 2:10 pm
TR,12:30 pm - 1:45 pm,"Dec 15, 2022",11:20 am - 2:10 pm
MWF,11:00 am - 11:50 am,"Dec 09, 2022",11:20 am - 2:10 pm
MW,11:00 am - 11:50 am,"Dec 09, 2022",11:20 am - 2:10 pm
WF,11:00 am - 11:50 am,"Dec 09, 2022",11:20 am - 2:10 pm
MW,11:00 am - 12:15 pm,"Dec 09, 2022",11:20 am - 2:10 pm
WF,11:00 am - 12:15 pm,"Dec 09, 2022",11:20 am - 2:10 pm
MTWR,12:30 pm - 1:20 pm,"Dec 14, 2022",11:20 am - 2:10 pm
MWF,12:30 pm - 1:20 pm,"Dec 14, 2022",11:20 am - 2:10 pm
MW,12:30 pm - 1:20 pm,"Dec 14, 2022",11:20 am - 2:10 pm
WF,12:30 pm - 1:20 pm,"Dec 14, 2022",11:20 am - 2:10 pm
MW,12:30 pm - 1:45 pm,"Dec 14, 2022",11:20 am - 2:10 pm
WF,12:30 pm - 1:45 pm,"Dec 14, 2022",11:20 am - 2:10 pm
F,11:00 am - 12:55 pm,"Dec 12, 2022",11:20 am - 2:10 pm
F,11:00 am - 1:45 pm,"Dec 12, 2022",11:20 am - 2:10 pm
M,5:00 pm - 6:55 pm,"Dec 12, 2022",6:00 pm - 8:50 pm
M,5:00 pm - 7:45 pm,"Dec 12, 2022",6:00 pm - 8:50 pm
MTWR,6:30 pm - 7:20 pm,"Dec 12, 2022",6:00 pm - 8:50 pm
MWF,6:30 pm - 7:20 pm,"Dec 12, 2022",6:00 pm - 8:50 pm
MW,6:30 pm - 7:20 pm,"Dec 12, 2022",6:00 pm - 8:50 pm
WF,6:30 pm - 7:20 pm,"Dec 12, 2022",6:00 pm - 8:50 pm
MW,6:30 pm - 7:45 pm,"Dec 12, 2022",6:00 pm - 8:50 pm
WF,6:30 pm - 7:45 pm,"Dec 12, 2022",6:00 pm - 8:50 pm
MW,6:30 pm - 8:25 pm,"Dec 12, 2022",6:00 pm - 8:50 pm
WF,6:30 pm - 8:25 pm,"Dec 12, 2022",6:00 pm - 8:50 pm
M,6:30 pm - 8:25 pm,"Dec 12, 2022",6:00 pm - 8:50 pm
M,6:30 pm - 9:15 pm,"Dec 12, 2022",6:00 pm - 8:50 pm
T,5:00 pm - 6:55 pm,"Dec 13, 2022",6:00 pm - 8:50 pm
T,5:00 pm - 7:45 pm,"Dec 13, 2022",6:00 pm - 8:50 pm
TWRF,6:30 pm - 7:20 pm,"Dec 13, 2022",6:00 pm - 8:50 pm
TRF,6:30 pm - 7:20 pm,"Dec 13, 2022",6:00 pm - 8:50 pm
TR,6:30 pm - 7:20 pm,"Dec 13, 2022",6:00 pm - 8:50 pm
TR,6:30 pm - 7:45 pm,"Dec 13, 2022",6:00 pm - 8:50 pm
TR,6:30 pm - 8:25 pm,"Dec 13, 2022",6:00 pm - 8:50 pm
T,6:30 pm - 8:25 pm,"Dec 13, 2022",6:00 pm - 8:50 pm
T,6:30 pm - 9:15 pm,"Dec 13, 2022",6:00 pm - 8:50 pm
W,5:00 pm - 6:55 pm,"Dec 14, 2022",6:00 pm - 8:50 pm
W,5:00 pm - 7:45 pm,"Dec 14, 2022",6:00 pm - 8:50 pm
W,6:30 pm - 8:25 pm,"Dec 14, 2022",6:00 pm - 8:50 pm
W,6:30 pm - 9:15 pm,"Dec 14, 2022",6:00 pm - 8:50 pm
MTWR,8:00 pm - 8:50 pm,"Dec 14, 2022",6:00 pm - 8:50 pm
MWF,8:00 pm - 8:50 pm,"Dec 14, 2022",6:00 pm - 8:50 pm
MW,8:00 pm - 8:50 pm,"Dec 14, 2022",6:00 pm - 8:50 pm
WF,8:00 pm - 8:50 pm,"Dec 14, 2022",6:00 pm - 8:50 pm
MW,8:00 pm - 9:15 pm,"Dec 14, 2022",6:00 pm - 8:50 pm
WF,8:00 pm - 9:15 pm,"Dec 14, 2022",6:00 pm - 8:50 pm
R,5:00 pm - 6:55 pm,"Dec 15, 2022",6:00 pm - 8:50 pm
R,5:00 pm - 7:45 pm,"Dec 15, 2022",6:00 pm - 8:50 pm
R,6:30 pm - 8:25 pm,"Dec 15, 2022",6:00 pm - 8:50 pm
R,6:30 pm - 9:15 pm,"Dec 15, 2022",6:00 pm - 8:50 pm
TWRF,8:00 pm - 8:50 pm,"Dec 15, 2022",6:00 pm - 8:50 pm
TRF,8:00 pm - 8:50 pm,"Dec 15, 2022",6:00 pm - 8:50 pm
TR,8:00 pm - 8:50 pm,"Dec 15, 2022",6:00 pm - 8:50 pm
TR,8:00 pm - 9:15 pm,"Dec 15, 2022",6:00 pm - 8:50 pm
TWRF,5:00 pm - 5:50 pm,"Dec 08, 2022",6:00 pm - 8:50 pm
TRF,5:00 pm - 5:50 pm,"Dec 08, 2022",6:00 pm - 8:50 pm
TR,5:00 pm - 5:50 pm,"Dec 08, 2022",6:00 pm - 8:50 pm
TR,5:00 pm - 6:15 pm,"Dec 08, 2022",6:00 pm - 8:50 pm
TR,5:00 pm - 6:55 pm,"Dec 08, 2022",6:00 pm - 8:50 pm
MTWR,5:00 pm - 5:50 pm,"Dec 09, 2022",6:00 pm - 8:50 pm
MWF,5:00 pm - 5:50 pm,"Dec 09, 2022",6:00 pm - 8:50 pm
MW,5:00 pm - 5:50 pm,"Dec 09, 2022",6:00 pm - 8:50 pm
WF,5:00 pm - 5:50 pm,"Dec 09, 2022",6:00 pm - 8:50 pm
MW,5:00 pm - 6:15 pm,"Dec 09, 2022",6:00 pm - 8:50 pm
WF,5:00 pm - 6:15 pm,"Dec 09, 2022",6:00 pm - 8:50 pm
MW,5:00 pm - 6:55 pm,"Dec 09, 2022",6:00 pm - 8:50 pm
WF,5:00 pm - 6:55 pm,"Dec 09, 2022",6:00 pm - 8:50 pm
F,5:00 pm - 6:55 pm,"Dec 09, 2022",6:00 pm - 8:50 pm
